TransactionID,Items
1,Milk
1,Bread
1,Butter
1,Pulses
2,Milk
2,Bread
2,Butter
2,Biscuits
2,Eggs
2,Coffee
3,Rice
3,Soap
3,Biscuits
3,Milk
3,Bread
3,Pulses
4,Rice
4,Pulses
4,Detergent
4,Bread
4,Butter
4,Shampoo
5,Rice
5,Pulses
5,Milk
5,Shampoo
5,Snacks
6,Rice
6,Pulses
6,Milk
7,Milk
7,Bread
7,Butter
7,Pulses
7,Tea
8,Rice
8,Soap
8,Juice
9,Milk
9,Bread
9,Butter
10,Milk
10,Bread
10,Butter
10,Detergent
10,Snacks
10,Shampoo
11,Milk
11,Bread
11,Butter
11,Eggs
12,Soap
12,Shampoo
12,Detergent
12,Bread
12,Biscuits
12,Eggs
13,Tea
13,Biscuits
13,Pulses
14,Rice
14,Pulses
15,Rice
15,Pulses
15,Juice
16,Rice
16,Pulses
16,Tea
16,Butter
17,Milk
17,Bread
17,Butter
18,Rice
18,Pulses
18,Eggs
18,Milk
19,Rice
19,Pulses
20,Soap
20,Shampoo
20,Detergent
21,Rice
21,Pulses
21,Butter
21,Soap
22,Soap
22,Shampoo
22,Detergent
23,Rice
23,Pulses
24,Rice
24,Pulses
25,Rice
25,Pulses
25,Tea
26,Tea
26,Biscuits
26,Juice
27,Rice
27,Pulses
27,Tea
27,Milk
27,Shampoo
28,Milk
28,Detergent
28,Butter
28,Rice
29,Tea
29,Biscuits
30,Soap
30,Shampoo
30,Detergent
30,Rice
30,Coffee
31,Tea
31,Biscuits
32,Tea
32,Biscuits
32,Pulses
32,Bread
32,Butter
32,Eggs
33,Milk
33,Bread
33,Butter
33,Snacks
33,Tea
34,Tea
34,Biscuits
34,Detergent
34,Pulses
35,Rice
35,Pulses
35,Milk
36,Milk
36,Bread
36,Butter
36,Rice
37,Milk
37,Bread
37,Butter
37,Snacks
37,Pulses
38,Rice
38,Pulses
38,Snacks
39,Rice
39,Biscuits
40,Tea
40,Biscuits
40,Shampoo
40,Bread
40,Pulses
41,Milk
41,Bread
41,Butter
42,Pulses
42,Juice
42,Rice
43,Tea
43,Biscuits
44,Tea
44,Biscuits
44,Eggs
44,Bread
44,Juice
44,Shampoo
45,Rice
45,Pulses
45,Tea
45,Butter
45,Soap
45,Shampoo
46,Soap
46,Shampoo
46,Detergent
46,Pulses
47,Eggs
47,Bread
47,Juice
47,Rice
47,Milk
48,Tea
48,Snacks
48,Rice
48,Bread
48,Detergent
49,Soap
49,Shampoo
49,Detergent
50,Milk
50,Bread
50,Butter
50,Biscuits
50,Tea
51,Coffee
51,Pulses
51,Tea
51,Detergent
51,Butter
52,Soap
52,Shampoo
52,Detergent
52,Coffee
52,Butter
53,Tea
53,Biscuits
53,Pulses
53,Detergent
53,Shampoo
53,Bread
54,Milk
54,Bread
54,Butter
54,Biscuits
54,Shampoo
54,Tea
55,Pulses
55,Bread
55,Rice
56,Milk
56,Bread
56,Butter
57,Snacks
57,Bread
58,Tea
58,Biscuits
58,Coffee
59,Juice
59,Butter
59,Coffee
59,Tea
59,Snacks
59,Rice
60,Soap
60,Shampoo
60,Detergent
61,Tea
61,Biscuits
62,Rice
62,Pulses
62,Biscuits
63,Milk
63,Bread
63,Butter
63,Detergent
63,Tea
64,Pulses
64,Coffee
64,Eggs
64,Soap
64,Tea
64,Rice
65,Milk
65,Bread
65,Butter
66,Rice
66,Pulses
66,Detergent
66,Bread
67,Tea
67,Biscuits
67,Eggs
67,Soap
67,Coffee
68,Tea
68,Biscuits
68,Snacks
68,Bread
68,Coffee
68,Shampoo
69,Milk
69,Bread
69,Butter
69,Pulses
69,Coffee
70,Soap
70,Shampoo
70,Detergent
71,Soap
71,Shampoo
71,Detergent
71,Coffee
72,Coffee
72,Snacks
72,Soap
72,Tea
72,Eggs
73,Soap
73,Shampoo
73,Detergent
74,Rice
74,Pulses
74,Detergent
74,Biscuits
75,Eggs
75,Soap
76,Milk
76,Bread
76,Butter
77,Milk
77,Bread
77,Butter
77,Shampoo
77,Soap
77,Biscuits
78,Tea
78,Biscuits
79,Tea
79,Biscuits
80,Soap
80,Shampoo
80,Detergent
80,Butter
80,Snacks
80,Milk
81,Milk
81,Bread
81,Butter
82,Milk
82,Bread
82,Butter
82,Detergent
82,Juice
83,Eggs
83,Detergent
84,Tea
84,Biscuits
84,Butter
84,Soap
84,Detergent
85,Rice
85,Pulses
85,Biscuits
85,Milk
85,Soap
85,Tea
86,Tea
86,Biscuits
86,Juice
86,Milk
86,Detergent
86,Butter
87,Soap
87,Shampoo
87,Detergent
88,Tea
88,Biscuits
89,Tea
89,Biscuits
90,Rice
90,Pulses
91,Rice
91,Pulses
91,Milk
91,Juice
91,Snacks
91,Detergent
92,Milk
92,Bread
92,Butter
92,Pulses
93,Milk
93,Bread
93,Butter
93,Shampoo
93,Eggs
93,Tea
94,Milk
94,Bread
94,Butter
94,Tea
95,Snacks
95,Tea
96,Rice
96,Pulses
96,Biscuits
96,Eggs
97,Soap
97,Shampoo
97,Detergent
98,Soap
98,Snacks
98,Butter
98,Eggs
99,Soap
99,Shampoo
99,Detergent
100,Soap
100,Shampoo
100,Detergent
100,Tea
100,Rice
100,Pulses
101,Rice
101,Pulses
101,Butter
101,Soap
101,Snacks
102,Butter
102,Tea
103,Bread
103,Shampoo
103,Detergent
104,Juice
104,Rice
104,Milk
105,Milk
105,Bread
105,Butter
105,Biscuits
106,Rice
106,Pulses
106,Detergent
106,Snacks
107,Rice
107,Pulses
107,Milk
107,Butter
107,Shampoo
108,Milk
108,Bread
108,Butter
108,Detergent
109,Tea
109,Biscuits
109,Snacks
109,Juice
109,Eggs
109,Pulses
110,Tea
110,Biscuits
110,Rice
110,Butter
110,Juice
110,Milk
111,Milk
111,Bread
111,Butter
112,Soap
112,Shampoo
112,Detergent
112,Rice
112,Bread
113,Soap
113,Shampoo
113,Detergent
114,Rice
114,Pulses
114,Detergent
114,Milk
114,Shampoo
114,Tea
115,Pulses
115,Eggs
115,Juice
115,Coffee
115,Snacks
115,Tea
116,Milk
116,Bread
116,Butter
117,Milk
117,Bread
117,Butter
118,Pulses
118,Eggs
118,Bread
118,Tea
118,Milk
119,Milk
119,Bread
119,Butter
119,Eggs
120,Milk
120,Bread
120,Butter
121,Soap
121,Shampoo
121,Detergent
121,Eggs
122,Tea
122,Pulses
122,Milk
122,Rice
122,Coffee
122,Butter
123,Tea
123,Biscuits
123,Butter
123,Milk
123,Snacks
123,Coffee
124,Tea
124,Biscuits
124,Snacks
124,Soap
124,Bread
125,Tea
125,Biscuits
126,Milk
126,Bread
126,Butter
126,Snacks
126,Juice
127,Tea
127,Biscuits
128,Detergent
128,Eggs
128,Biscuits
128,Butter
128,Bread
129,Rice
129,Pulses
129,Bread
130,Rice
130,Pulses
130,Shampoo
131,Milk
131,Bread
131,Butter
131,Shampoo
131,Biscuits
131,Pulses
132,Juice
132,Detergent
132,Milk
132,Tea
133,Milk
133,Bread
133,Butter
134,Tea
134,Biscuits
134,Soap
135,Soap
135,Shampoo
135,Detergent
135,Rice
135,Milk
135,Juice
136,Milk
136,Bread
136,Butter
136,Biscuits
136,Detergent
137,Coffee
137,Detergent
137,Pulses
137,Shampoo
137,Bread
138,Milk
138,Bread
138,Butter
139,Milk
139,Bread
139,Butter
139,Pulses
139,Snacks
140,Milk
140,Bread
140,Butter
140,Eggs
140,Coffee
141,Milk
141,Eggs
142,Tea
142,Biscuits
143,Rice
143,Pulses
144,Tea
144,Biscuits
144,Butter
144,Bread
144,Eggs
144,Juice
145,Tea
145,Biscuits
146,Rice
146,Pulses
147,Milk
147,Bread
147,Butter
147,Soap
147,Shampoo
147,Rice
148,Milk
148,Bread
148,Butter
148,Soap
148,Coffee
148,Tea
149,Tea
149,Biscuits
149,Shampoo
150,Tea
150,Biscuits
150,Shampoo
150,Butter
150,Snacks
150,Rice
151,Milk
151,Bread
151,Butter
152,Shampoo
152,Milk
152,Soap
152,Snacks
152,Tea
153,Milk
153,Bread
153,Butter
154,Snacks
154,Coffee
154,Pulses
155,Milk
155,Bread
155,Butter
156,Rice
156,Pulses
157,Tea
157,Biscuits
157,Coffee
157,Eggs
157,Pulses
157,Rice
158,Tea
158,Biscuits
158,Detergent
159,Milk
159,Bread
159,Butter
160,Rice
160,Pulses
161,Soap
161,Shampoo
161,Detergent
161,Pulses
162,Milk
162,Bread
162,Butter
162,Tea
162,Eggs
162,Detergent
163,Milk
163,Bread
163,Butter
163,Tea
164,Tea
164,Biscuits
164,Soap
164,Rice
164,Snacks
165,Milk
165,Bread
165,Butter
165,Juice
165,Rice
166,Eggs
166,Bread
166,Shampoo
166,Juice
166,Coffee
167,Tea
167,Biscuits
167,Juice
167,Coffee
168,Soap
168,Shampoo
168,Detergent
169,Soap
169,Shampoo
169,Detergent
170,Soap
170,Shampoo
170,Detergent
171,Rice
171,Pulses
171,Coffee
171,Juice
171,Eggs
172,Tea
172,Biscuits
173,Detergent
173,Bread
173,Shampoo
173,Milk
173,Butter
173,Eggs
174,Rice
174,Pulses
175,Bread
175,Coffee
175,Pulses
176,Rice
176,Pulses
176,Eggs
176,Shampoo
176,Tea
176,Biscuits
177,Milk
177,Bread
177,Butter
177,Biscuits
177,Coffee
177,Detergent
178,Tea
178,Biscuits
179,Rice
179,Pulses
179,Shampoo
179,Soap
180,Tea
180,Biscuits
181,Pulses
181,Rice
181,Juice
181,Snacks
182,Soap
182,Shampoo
182,Detergent
182,Biscuits
182,Pulses
182,Tea
183,Milk
183,Bread
183,Butter
183,Shampoo
183,Detergent
183,Coffee
184,Milk
184,Bread
184,Butter
184,Detergent
185,Tea
185,Biscuits
186,Rice
186,Pulses
186,Shampoo
187,Soap
187,Shampoo
187,Detergent
187,Coffee
187,Juice
187,Eggs
188,Soap
188,Shampoo
188,Detergent
188,Biscuits
189,Tea
189,Biscuits
190,Coffee
190,Milk
191,Pulses
191,Coffee
191,Biscuits
191,Shampoo
191,Tea
191,Bread
192,Rice
192,Pulses
192,Butter
192,Bread
192,Coffee
193,Milk
193,Bread
193,Butter
193,Coffee
194,Milk
194,Bread
194,Butter
195,Soap
195,Shampoo
195,Detergent
196,Butter
196,Milk
196,Eggs
197,Detergent
197,Pulses
197,Biscuits
197,Juice
197,Coffee
197,Eggs
198,Rice
198,Pulses
198,Milk
198,Bread
198,Detergent
199,Soap
199,Shampoo
199,Detergent
200,Milk
200,Bread
200,Butter
201,Milk
201,Bread
201,Butter
201,Tea
201,Snacks
201,Pulses
202,Soap
202,Shampoo
202,Detergent
202,Coffee
202,Juice
202,Rice
203,Eggs
203,Bread
203,Butter
203,Coffee
203,Biscuits
203,Detergent
204,Soap
204,Shampoo
204,Detergent
205,Milk
205,Bread
205,Butter
205,Shampoo
205,Detergent
206,Milk
206,Bread
206,Butter
206,Biscuits
206,Coffee
207,Tea
207,Biscuits
207,Rice
207,Pulses
207,Bread
207,Shampoo
208,Rice
208,Pulses
208,Snacks
208,Biscuits
208,Bread
209,Rice
209,Pulses
210,Soap
210,Shampoo
210,Detergent
210,Snacks
211,Milk
211,Bread
211,Butter
211,Biscuits
212,Shampoo
212,Biscuits
212,Soap
213,Soap
213,Shampoo
213,Detergent
213,Rice
213,Pulses
213,Eggs
214,Tea
214,Biscuits
214,Milk
214,Rice
214,Coffee
215,Soap
215,Shampoo
215,Detergent
216,Milk
216,Bread
216,Butter
216,Pulses
216,Snacks
217,Rice
217,Pulses
217,Juice
217,Butter
217,Eggs
217,Snacks
218,Rice
218,Pulses
218,Shampoo
218,Butter
218,Detergent
218,Juice
219,Milk
219,Bread
219,Butter
220,Tea
220,Biscuits
220,Coffee
220,Shampoo
221,Rice
221,Pulses
221,Soap
221,Eggs
221,Bread
222,Soap
222,Shampoo
222,Detergent
222,Tea
222,Butter
223,Rice
223,Pulses
224,Milk
224,Bread
224,Butter
225,Soap
225,Shampoo
225,Detergent
226,Milk
226,Bread
226,Butter
227,Snacks
227,Milk
228,Milk
228,Bread
228,Butter
228,Coffee
228,Juice
228,Snacks
229,Tea
229,Shampoo
229,Milk
229,Rice
230,Milk
230,Bread
230,Butter
230,Coffee
231,Soap
231,Shampoo
231,Detergent
231,Coffee
231,Rice
232,Eggs
232,Butter
232,Rice
232,Soap
232,Shampoo
232,Milk
233,Milk
233,Bread
233,Butter
233,Pulses
233,Detergent
233,Coffee
234,Rice
234,Pulses
234,Soap
235,Detergent
235,Milk
235,Juice
235,Bread
236,Milk
236,Bread
236,Butter
236,Eggs
236,Pulses
237,Milk
237,Bread
237,Butter
238,Tea
238,Biscuits
238,Rice
238,Eggs
238,Juice
239,Milk
239,Bread
239,Butter
239,Detergent
239,Juice
239,Coffee
240,Tea
240,Biscuits
240,Juice
240,Pulses
241,Rice
241,Pulses
241,Eggs
241,Shampoo
241,Detergent
241,Juice
242,Milk
242,Bread
242,Butter
242,Coffee
242,Eggs
242,Snacks
243,Tea
243,Biscuits
243,Snacks
244,Rice
244,Pulses
244,Coffee
244,Soap
245,Milk
245,Bread
245,Butter
246,Shampoo
246,Biscuits
247,Juice
247,Soap
247,Detergent
247,Tea
247,Rice
247,Eggs
248,Rice
248,Pulses
248,Bread
249,Tea
249,Biscuits
249,Pulses
249,Juice
249,Rice
249,Shampoo
250,Soap
250,Shampoo
250,Detergent
250,Eggs
250,Rice
250,Bread
251,Tea
251,Biscuits
251,Butter
252,Milk
252,Bread
252,Butter
253,Soap
253,Shampoo
253,Detergent
253,Eggs
253,Milk
253,Biscuits
254,Rice
254,Pulses
254,Shampoo
254,Juice
255,Soap
255,Shampoo
255,Detergent
255,Rice
255,Eggs
256,Coffee
256,Snacks
257,Tea
257,Biscuits
257,Butter
257,Eggs
257,Juice
258,Tea
258,Biscuits
259,Soap
259,Shampoo
259,Detergent
259,Bread
259,Eggs
259,Juice
260,Tea
260,Biscuits
260,Bread
260,Butter
261,Milk
261,Bread
261,Butter
261,Soap
261,Snacks
261,Shampoo
262,Soap
262,Shampoo
262,Detergent
263,Rice
263,Pulses
263,Butter
263,Bread
263,Soap
263,Milk
264,Tea
264,Biscuits
264,Juice
264,Shampoo
264,Eggs
264,Coffee
265,Shampoo
265,Coffee
265,Rice
266,Milk
266,Bread
266,Butter
266,Pulses
267,Milk
267,Bread
267,Butter
268,Soap
268,Shampoo
268,Detergent
269,Soap
269,Shampoo
269,Detergent
269,Tea
270,Milk
270,Bread
270,Butter
270,Pulses
270,Eggs
270,Snacks
271,Rice
271,Pulses
271,Shampoo
272,Milk
272,Bread
272,Butter
273,Butter
273,Rice
273,Shampoo
273,Coffee
274,Rice
274,Pulses
274,Tea
275,Eggs
275,Coffee
275,Bread
276,Soap
276,Shampoo
276,Detergent
276,Butter
276,Juice
276,Tea
277,Juice
277,Pulses
277,Detergent
277,Butter
277,Shampoo
277,Coffee
278,Tea
278,Biscuits
279,Soap
279,Shampoo
279,Detergent
280,Soap
280,Shampoo
280,Detergent
280,Juice
280,Eggs
280,Rice
281,Milk
281,Bread
281,Butter
281,Biscuits
282,Rice
282,Pulses
282,Soap
283,Soap
283,Shampoo
283,Detergent
283,Rice
283,Butter
283,Pulses
284,Milk
284,Bread
284,Butter
285,Shampoo
285,Snacks
285,Bread
286,Milk
286,Bread
286,Butter
286,Biscuits
286,Detergent
287,Biscuits
287,Juice
288,Milk
288,Bread
288,Butter
288,Juice
288,Biscuits
289,Soap
289,Shampoo
289,Detergent
290,Tea
290,Biscuits
291,Bread
291,Coffee
291,Detergent
291,Snacks
291,Juice
291,Shampoo
292,Tea
292,Biscuits
292,Butter
292,Milk
292,Snacks
293,Rice
293,Pulses
293,Snacks
294,Milk
294,Bread
294,Butter
294,Tea
294,Juice
295,Tea
295,Biscuits
295,Bread
296,Rice
296,Pulses
296,Soap
296,Bread
296,Milk
297,Soap
297,Shampoo
297,Detergent
298,Soap
298,Shampoo
298,Detergent
298,Rice
299,Soap
299,Shampoo
299,Detergent
299,Coffee
300,Milk
300,Bread
300,Butter
